ID,address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two),reviews_list,menu_item,listed_in(type),listed_in(city)
1,"1881,11th Main
39th Cross Rd, 4th T Block East, Jayanagar, 560041",1966 Mumbai Cafe,Yes,No,4.4/5,352,8660902006,Jayanagar,Casual Dining,vada pav,Indian Street Food,400,Vadapav and misal pav tasted heavenly.We tried biriyani and poha as well and it wasn?t up to the mark of Mumbai taste.The place is hygienic and well maintained. Just a heads up : there is no car parking; A new hangout spot in the city. They have limited options but are worth the flavours. Tried Mumbai vadapav and Spicy paneer vada pav. Both the dishes were palatable and pocket friendly.,[],Cafe,Jayanagar
2,"No. 1/3, Sumeru Enclave, 275, 9th A Main, 2nd Block, Jayanagar, Bengaluru, Karnataka 560011",Isobel Cafe,Yes,Yes,4.8/5,668,null,Jayanagar,Casual Dining,"Pizza, coffee",Multi-Cuisine,1000,Had great coffee along with delicious pizza. Nice place to hangout with friends and partner. Wang served our table and he was very polite and professional.; Lovely atmosphere and great coffee! I?ve been back twice now for their oat milk latte.,[],Cafe,Jayanagar
3,"#21/83, S E
nd Rd, Basavanagudi, Bengaluru
","Friends Adda/ Bun Gudi
",No,No,4.3/5,163,null,Basavanagudi,Self-service,"Sabaki bun, Cutlet puffs",Indian Street Food,250,Known for their Bun Butter Congress and Sabakki bun butter congress. Tried their Sangamam juice a citrus mix juice that was interesting. They do sell various other snacks and beverages check them out too.,[],Street Stalls,Basavanagudi
4,"Kothnur Main Rd, Puttenahalli, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078",Mysore tatte idly point,Yes,No,4.4/5,86,7947432903,JP Nagar,Self-service,"Pulliyogare, Vada, Tomato Bath",South Indian,150,"Excellent Food taste ;Ordered thatte idly and vada , simply chumma to that idly, it was so soft and sambar chutney awesome; Nice place to have breakfast. Puliyogare is next level, Thatte idli",[],Hotel,JP Nagar
5,"185, ?ISHTA? ? 1st Floor, 17th Main Rd, Siddanna Layout, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070",Kaapi Kendra,Yes,No,4.2/5,393,7019017502,Banashankari,Self-service,Masala Dosa,"Beverages, South Indian",200,"he cafe is clean and food seems to be prepared with quality in mind. This place serves on South Indian dishes, specilizing in dosas and Coffee. Coffee tasted very good, though a bit on the thinner side.; The best idlys and the most amazing sambar in this locality. It's always very crowded. That's because of their amazing taste, be it idly, vada or rava dose whatever u buy there, nothing will disappoint you anyday. an idly lover's must visit place.",[],Hotel,Banashankari
6,"No.320/2, 14th cross, Sampige Rd, Kodandarampura, Malleshwaram, Bengaluru, Karnataka 560003",Eat Raja Juice Bar,Yes,No,4.4/5,1797,9738342131,Malleshwaram,Self-service,"Chilli Gauva Juice, Triple Delight",Beverages,250,Great idea by the team of having no waste out of fruits. Very impressive to see that the containers are nothing but cut fruits. Cleanliness can be improved. Sugarless options need to be introduced.; The concept of serving juice in shells and fruit is quite unique.Took combo juice.Coco Dragon and Sita phala were nice. Sapota was okayish.Good to see that they are doing their best to reduce use of plastic.,[],Street Stalls,Malleshwaram
7,"764/44, 37th Cross, 18th main road, 4th T  Block East, Jayanagar",Aamchi Dilli,Yes,Yes,4.2/5,940,9353883238,Jayanagar,Casual Dining,"Chole Bhature, Pav Bhaji",Indian Street Food,300,"Aamchi Dilli restaurant, Jayanagar. It? Delhi & Mumbai style Indian Street Food restaurant, self-service order it and pay first and then collect the dishes from respective counters. It is well organized token numbers. We had dinner on , and it? busy place. The food is good and the rates are reasonable.I'll consider it in future and recommend it. Please be careful with your parking.; A one stop place for all Delhi and Mumbai street food. You can visualise this place as a hygienic and sophisticated lorry (thela).Best part is they will tell you the approximate time they are going to take for dishes requiring longer time to prepare so that you can decide either to wait or order something else.Portion is standard. Pocket friendly.",[],Cafe,Jayanagar
8,"Shop No. 1632, Srinivasnagar, Banashankari, Bengaluru, Karnataka 560050",Panchami Chats,Yes,No,3.9/5,713,9986051988,Banashankari,Self-service,"Samosa, Roti Curry",Indian Street Food,250,"Good place for chats,Juices and North Indian dishes.At reasonable price. ; This is on of the popular place in our area srinivasnagar for juice and chats and evening snacks. I have been visiting this place from past 10years, this place used serve best pav bhaji and Gobi manchoori.They serve all kinds of snacks and juice for best price. Taste has come down but still good for it's price in this area.",[],Hotel,Banashankari
9,"36, 10th Cross Rd, Kadarenahalli, Banashankari, Bengaluru, Karnataka 560070",Kunigal Thatte Idly,Yes,No,4.4/5,678,null,Banashankari,Self-service,"Thatte Idly, palav",South Indian,250,Extremely tasty food!! Authentic south Indian Thatte Idli and vada. The Ghee rice with Khurma was very tasty too!! You can refill the two chutneys and khurma for (rice) unlimited number of times with the self refill counter. Prices are very reasonable too!; Very soft Thatte idli & Vada is just outstanding. Green chutney is spicy & I just loved it. Veg Pulao was ok but idli chutney is a must try dish here,[],Hotel,Banashankari
10,"10th Main Rd, Jaya Nagar 1st Block, Jayanagar 3rd Block, Jayanagar, Bengaluru, Karnataka 560011",Madhavan Park Bajji Cart,No,No,4.2/5,682,9902336740,Jayanagar,Self-service,Bajji,Indian Street Food,150,One of the best bajji centers in Banglore. Must Try capsicum and balekaayi masala you'll 100% love it. For a chill evening this place is match made in heaven for foodies!!; The capsicum bajji with masala and onions were so yummy. Must try snacks place in jaya agar. Also the price was reasonable.,[],Street Stalls,Jayanagar
