ID,name,reel_link
1,1966 Mumbai Cafe,https://www.instagram.com/reel/Czi6fMPPeX6/?igsh=NG40ZXBqejh5a3lw
2,Isobel Cafe,https://www.instagram.com/reel/C1_ajEgLP5p/?igsh=MTB0eTcyODlqZ2ZlOQ%3D%3D
3,Friends Adda/ Bun Gudi,https://www.instagram.com/reel/CwFbQrlMA9A/?igsh=ZzZsdW56bW4yajE%3D
4,Mysore Tatte Idly Point,https://www.instagram.com/bheemasena__nalamaharaja/reel/CwU8jMCIRtv/
5,Kaapi Kendra,https://www.instagram.com/reel/CyUln-6PtoQ/?igsh=c2NhaDlyMDE1MTl5
6, Eat Raja Juice Bar,https://www.instagram.com/reel/CxxhOYiv76m/?igsh=MXhtcGwzaWJsZzQ4bA%3D%3D
7,Aamchi Dilli,https://www.instagram.com/reel/C0gNb28Pue5/?igsh=MXFrYmpzOThxaGJleg%3D%3D
8,Panchami Chats,https://www.instagram.com/reel/Cvz1vJiogE3/?igsh=MXlvazdiNHU1cnFw
9,Kunigal Thatte Idly,https://www.instagram.com/reel/CxnV3HfPQWX/?igsh=bzk3OGN1Z2FwNnN4
10, Madhavan Park Bajji Cart,https://www.instagram.com/reel/CxdCxEzI0yY/?igsh=MXc3ajZvZzVwdWVvcg%3D%3D
11,Dakshin Thindi,https://www.instagram.com/lakkur.foodie/reel/CxvJvhDvQ8u/
12,Chutney Chang,https://www.instagram.com/reel/Cx5ox2OvIMX/?igsh=eTF2OHR1dmNjYWdu
13,Sri Mahadeshwara Mushroom Dum Briyani,https://www.instagram.com/reel/Cwur7Vlrm6w/?igsh=am5keWVtNWxqazFq
14,Samruddhi Gobi Centre,https://www.instagram.com/reel/CxAXKdoPx2l/?igsh=cHlsZWFlYmExMGpj
15,La Pino'z Pizza,https://www.instagram.com/reel/CvcVJr2I7RR/?igsh=MTFsb3AzdHhndWVkMg%3D%3D
16,Mr.Gobi,https://www.instagram.com/reel/CvFF9dYg3ld/?igsh=MTRmOXE5cHQxNDloNw%3D%3D
17,Prasidhi Cafe Corner,https://www.instagram.com/reel/CvMxULYACg3/?igsh=MXdoMTNxOXAxYnB5dg%3D%3D
18,Rajvardhan Foods,https://www.instagram.com/reel/C3X_OQmv2GN/?igsh=MTlrdnRtM3FvdnJuZQ%3D%3D
19,Kapoor's Cafe,https://www.instagram.com/reel/C1AFvk2S03r/?igsh=b2M1aG9xN2cyMThu
20,Shyamji's Chole Bhature,https://www.instagram.com/reel/C2M6MmKoCpL/?igsh=cXYxYzV3a2RkY3Fy
21,Kedias Fun Food,https://www.instagram.com/i_am_a_foo.die/reel/C3S2xu1PKAK/
22,By2Coffee,https://www.instagram.com/reel/CpZPutgjEUM/?igsh=MWs4eHBuNThwZXlv
23,Shivaji Chats,https://www.instagram.com/reel/C1155FxL9UO/?igsh=MW9paHdkd2E5Z2Fjbg%3D%3D
24,Pailwan Pulao,https://www.instagram.com/reel/CwzwRekLSj1/?igsh=cnYwb2xydHpwMmY2
25,Hotel Dwarka,https://www.instagram.com/reel/Cwb4sxpAzTK/?igsh=YzFkM3VlZGJkYm14
26,Raja Gobi,https://www.instagram.com/reel/CyQeO8-r_ag/?igsh=cXNpbTcxd3o2eGQ3
27,New Modern Hotel,https://www.instagram.com/reel/C2ol6rNLb4c/?igsh=MXc0amZ4aXV6dw%3D%3D
28,Brahmins' Coffee Bar,https://www.instagram.com/reel/C23vSiJryUq/?igsh=cmQ5c2N3bHJ5dm15
29,Namma SLN Veg,https://www.instagram.com/reel/C3e0CiqLQU8/?igsh=MWU4NnVzYjd2ZHBoaA%3D%3D
30,Dhanyam Cafe,https://www.instagram.com/reel/C15yhomSQs9/?igsh=MWc1Yjk3bXdnMGxkcg%3D%3D
31,Dwarkamai,https://www.instagram.com/reel/Cx76BoysSlQ/?igsh=MTVuMDBsM3oycGN1Mw%3D%3D
32,Cafe Amudham,https://www.instagram.com/reel/C215D4ZLOtg/?igsh=MW5vYXJueTJzNnhtdg%3D%3D
33,Just Chole Bhature,https://www.instagram.com/reel/C2zlnuhP3ZR/?igsh=MWduenZmYmNoaWE1MA%3D%3D
34,Venezia,https://www.instagram.com/reel/C1mjGJlv22C/?igsh=MWxmOWp2MnpjMnVlcQ%3D%3D
35,Now Boarding Cafe,https://www.instagram.com/reel/C0PQR3USATp/?igsh=eDlwOWEzNXFreXEx
36,"HELLO! Dose Master
",https://www.instagram.com/reel/C0JjFujIcOt/?igsh=MXJ2bGdocHA0cXprbQ%3D%3D
37,"Amrith Ice Cream
",https://www.instagram.com/reel/C3HAXKGP_gM/?igsh=MW5pM3BzNzN6M2Y3eQ%3D%3D
38,"Sri Sai Ram Chats and Juice
",https://www.instagram.com/reel/C27M-aYvNZ0/?igsh=MWxjdnB2NGhhM2V6ZQ%3D%3D
39,Sattvam,https://www.instagram.com/reel/C2w6idVveTM/?igsh=dTliOWllbnJ2bGk0
40,"Eshanya Street Food Cafe
",https://www.instagram.com/reel/C3VFH09PDrL/?igsh=MWlpdTdtNWd1eGxwNQ%3D%3D
41,Anantha,https://www.instagram.com/reel/C18fETyvnvq/?igsh=c2E4NDB5ZXFiOWZ6
42," Ramanna Chats
",https://www.instagram.com/reel/C0WbDcavIXT/?igsh=MTF5NXk1cW96MGx0eQ%3D%3D
